Name,API Name,Instance Memory,GPUs,Linux On Demand cost,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost,GPU memory(per gpu)
Standard ND40rs v2,ND40rs v2,672 GiB,8X V100 (NVlink),$22.0320 hourly,$10.7957 hourly,$3.9658 hourly,$23.8720 hourly,$20.1794 hourly,$12.6357 hourly,$4.2970 hourly,32GB
ND96isr H200 v5,ND96isr H200 v5,1900 GiB,8x H200,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,141GB
ND96isr H100 v5,ND96isr H100 v5,1900 GiB,8x H100_SXM,$98.3200 hourly,$62.9248 hourly,$32.2195 hourly,$102.7360 hourly,unavailable,$67.3408 hourly,$33.6666 hourly,80GB
ND96amsr A100 v4,ND96amsr A100 v4,1923 GiB,8x A100_SXM_80G,$32.7700 hourly,$20.9728 hourly,$8.5202 hourly,$37.1860 hourly,$32.6605 hourly,$25.3888 hourly,$9.6684 hourly,80GB
ND96asr A100 v4,ND96asr A100 v4,900 GiB,8x A100_SXM_80G,$27.1970 hourly,$18.8283 hourly,$5.9833 hourly,$31.6130 hourly,$27.0357 hourly,$23.2443 hourly,$6.9549 hourly,40GB
Standard NC24rs v3,NC24rs v3,448 GiB,4X V100,$13.4600 hourly,unavailable,$2.2801 hourly,$14.5600 hourly,$10.9702 hourly,unavailable,$2.4665 hourly,16GB
Standard NC24s v3,NC24s v3,448 GiB,4X V100,$12.2400 hourly,unavailable,$2.0735 hourly,$13.3440 hourly,$10.0759 hourly,unavailable,$2.2605 hourly,16GB
NC64as T4 v3,NC64as T4 v3,448 GiB,4X T4,$4.3520 hourly,$2.5590 hourly,$1.3213 hourly,$7.2960 hourly,$5.8868 hourly,$5.5030 hourly,$2.2340 hourly,16GB
Standard NC24rs v2,NC24rs v2,448 GiB,4X P100,$9.1080 hourly,unavailable,$1.4026 hourly,$10.9710 hourly,$8.6855 hourly,unavailable,$1.6895 hourly,16GB
Standard NC24s v2,NC24s v2,448 GiB,4X P100,$8.2800 hourly,unavailable,$1.2751 hourly,$9.9720 hourly,$7.9963 hourly,unavailable,$1.5357 hourly,16GB
Standard ND24rs,ND24rs,448 GiB,4X P40,$9.1080 hourly,$5.8015 hourly,$1.4026 hourly,$10.9710 hourly,$8.6855 hourly,$6.9055 hourly,$1.6895 hourly,24GB
